"pub","va","sema","na","stda","vi","semi","ni","stdi","ka","ki","sequence","sequence_full","cell","cell_full","beta1","tmin","tmax","trtype","trmin","trmax","ljp_corrected","ljp","rpmin","rpmax","rsmin","rsmax","rscmin","rscmax","waitmin","waitmax","imin","imax","vpeak","ipeak","irep","t_cycle","pah","palo","pad","pahi","pih","pilo","pid","pihi","pit","boltz_ag","boltz_ii","na_e","na_e2","ca_e","tea_e","nmdg_e","choline_e","ph_e","mix_e","bath","na_i","ca_i","mg_i","atp_i","egta_i","bapta_i","ca_ib","tea_i","ph_i","mix_i","pipette","equipment","notes"
"Hoshi 2014",0,0,0,0,-79.48,0.6,18,2.5455844123,"None","None","a","NM 198056","HEK","HEK293","no",22,23,"transient",24,24,"None","None",1.5,2.5,"None","None",85,"None","None","None","None","None",-20,"None","None","None","None","None","None","None",-120,-140,10,60,-30,"None","yes",140,"None",2,0,0,0,7.4,"None","NaCl 140, KCl 5, MgCl2 1, CaCl2 2, glucose 10, HEPES 10",35,0,0,0,10,0,0,0,7.4,"None","NaCl 35, CsF 105, EGTA 10, Cs-HEPES 10","Axopatch 200A, pClamp 10",
"Hsueh 2009",-42.56,0.81,10,2.5614449047,-84.3,1.2,10,3.7947331922,5.61,7.89,"a","NM_198056","HEK","HEK293T","yes",24,26,"transient",48,56,"None","None",1.5,2.5,"None","None","None","None","None","None","None","None",-30,"None","None","None",-120,-80,10,50,-120,-150,10,-40,-20,"yes","yes",145,"None",1.8,0,0,0,7.35,"NaOH","NaCl 145, KCl 4, CaCl 1.8, MgCl 1, pH 7.35 w HEPES-NaOH",10,0,0,0,10,0,0,0,7.35,"CsOH","NaF 10, CsF 110, CsCl 20, EGTA 10, HEPES 10","Dagan 8900, Digidata 1200, pClamp 6",
"Hu 2007",-50.81,0.18,33,1.0340212764,-92.53,0.1,17,0.4123105626,"None",-5.24,"bstar","hH1a","HEK","TSA201","yes","None","None","transient",24,72,"None","None",0.8,2.8,"None","None",70,85,10,"None","None","None",-35,"None",-6000,"None",-120,-90,5,30,-120,-140,5,-60,-20,"yes","yes",142.8,"None",1.8,5,0,0,7.3,"NaOH","140 NaCl, 5 KCl, 1.8 CaCl2, 1 MgCl2, 2.8 NaOAc, 10 HEPES, 10 glucose, TEACl 5",5,0,1,0,5,0,0,0,7.2,"CsOH","5 NaCl, 5 KCl, 130 CsF, 1 MgCl2, 5 EGTA, 10 HEPES","Axopatch 200B, CV-201A headstage, pClamp 9.2",
"Hu 2014",0,0,0,0,-92.5,0.82,22,3.8461409231,"None",-5.98,"b","hH1c","HEK","TSA201","yes","None","None","transient",24,72,"None","None",1,2,"None","None",70,85,10,"None","None","None",-35,"None",-9000,"None","None",-100,5,20,-120,"None","None","None","None","None","yes",142.8,"None",1.8,5,0,0,7.3,"NaOH","140 NaCl, 5 KCl, 1.8 CaCl2, 1 MgCl2, 2.8 NaOAc, 10 HEPES, 10 Glucose, 5 TEA",5,0,1,0,5,0,0,0,7.2,"CsOH","5 NaCl, 5 KCl, 130 CsF, 1 MgCl2, 5 EGTA, 10 HEPES","Axopatch 200B, CV-201A headstage, pClamp 10",
"Hu 2015",-41,1.3,9,3.9,-80,1.6,19,6.9742383097,4,"None","b","AY148488","HEK","HEK 293","no",22,24,"transient",24,24,"None","None",1,2,"None","None","None","None","None","None","None","None",-20,"None",-4000,"None",-140,-120,10,60,-140,-150,10,0,0,"yes","yes",140,"None",1.8,0,0,0,7.4,"NaOH","140 NaCl, 4 KCl, 1.8 CaCl2, 0.75 MgCl2, 5 HEPES",0,0,0,0,5,0,0,0,7.4,"CsOH","120 CsF, 20 CsCl2, 5 EGTA, 5 HEPES","Axopatch 200B, pClamp 10.2",
"Hu 2015",-41,2.4,13,8.6533230611,-80,2.5,14,9.3541434669,4,"None","a","AC1377587","HEK","HEK 293","no",22,24,"transient",24,24,"None","None",1,2,"None","None","None","None","None","None","None","None",-20,"None",-4000,"None",-140,-120,10,60,-140,-150,10,0,0,"yes","yes",140,"None",1.8,0,0,0,7.4,"NaOH","140 NaCl, 4 KCl, 1.8 CaCl2, 0.75 MgCl2, 5 HEPES",0,0,0,0,5,0,0,0,7.4,"CsOH","120 CsF, 20 CsCl2, 5 EGTA, 5 HEPES","Axopatch 200B, pClamp 10.2",
"Huang 2006",-59.9,0.9,8,2.5455844123,-107.8,1.8,8,5.0911688245,6.9,-5.4,"None",,"HEK","tsA201","no","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None",-8000,"None",-140,-100,10,70,-140,"None","None","None","None","None","None","None","None","None","None","None","None","None","None",,"None","None","None","None","None","None","None","None","None","None",,,"Don't mention b1 explicitly"
"Huang 2009",-50.34,2.06,9,6.18,-100.47,1.34,9,4.02,6.38,-4.91,"astar","hH1","HEK","tsA201","yes","None","None","None","None","None","yes",-7,"None","None","None","None","None","None","None","None","None","None",-40,"None",-10000,"None",-140,-100,10,50,-140,-140,10,-30,-30,"yes","yes",152.4,"None",1.5,0,0,0,7.4,"NaOH","150 NaCl, 2 KCl, 1.5 CaCl2, 1 MgCl2, 10 glucose, 10 Na-HEPES, final Na+: 152.4 mM",35,0,0,0,10,0,0,0,7.4,"CsOH","35 NaCl, 105 CsF, 10 EGTA, 10 Cs-HEPES",,"Ref Deschenes 2000 for hH1"
"Itoh 2005a",-39.9,1.5,25,7.5,0,0,0,0,5.66,"None","astar","hH1","HEK","HEK293","yes","None","None","transient",24,48,"None","None",1,2,"None","None",70,85,"None","None","None","None","None","None",-7000,"None",-120,-80,10,80,-120,-140,10,0,-20,"yes","yes",140,"None",2,0,0,0,7.4,"NaOH","140 NaCl, 4 KCl, 2 CaCl2 , 1 MgCl2 , 10 HEPES, 5 glucose",20,0,0,0,5,0,0,0,7.4,"CsOH","100 CsF, 20 CsCl2 , 20 NaCl, 10 HEPES, 5 EGTA","HEKA EPC-9, Pulse","Don't give n for inactivation"
"Itoh 2005b",-40.6,1.4,21,6.4156059729,0,0,0,0,5.63,"None","astar","hH1","HEK","HEK293","yes","None","None","transient",24,48,"None","None",1,2,"None","None",70,85,10,"None","None","None",-20,"None",-4000,"None",-120,-80,10,80,-120,-140,10,0,-20,"yes","yes",140,"None",2,0,0,0,7.4,"NaOH","140 NaCl, 4 KCl, 2 CaCl2 , 1 MgCl2 , 10 HEPES, 5 glucose",20,0,0,0,5,0,0,0,7.4,"CsOH","100 CsF, 20 CsCl2 , 20 NaCl, 10 HEPES, 5 EGTA","HEKA EPC-9, Pulse","Don't give n for inactivation"
"Itoh 2007",0,0,0,0,-90.9,1.1,9,3.3,4,"None","astar","hH1","HEK","HEK293","yes","None","None","transient",24,48,"None","None",1,2,"None","None",70,85,"None","None","None","None","None","None",-6000,"None",-120,"None","None","None",-120,-140,10,0,-20,"None","yes",140,"None",2,0,0,0,7.4,"NaOH","140 NaCl, 4 KCl, 2 CaCl2 , 1 MgCl2 , 10 HEPES, 5 glucose",20,0,0,0,5,0,0,0,7.4,"CsOH","100 CsF, 20 CsCl2 , 20 NaCl, 10 HEPES, 5 EGTA","HEKA EPC-9, Pulse",
"Juang 2014a",-36.3,0.2,4,0.4,-86.4,0.7,4,1.4,4.1,-7.5,"a","NM_198056","HEK","HEK293","yes","None","None","transient",48,48,"None","None","None","None",2,5,60,80,"None","None","None","None",-10,"None",-2500,5,-80,-80,10,50,-80,-140,10,-40,-10,"yes","yes",137.33,"None",1.8,0,0,0,7.4,"NaOH","NaCl 137.0, KCl 5.4, MgCl2 1.22, CaCl2 1.8, HEPES 10, NaH2PO4 0.33, glucose 5.5",10,1,2,5,11,0,0.000015,15,7.2,"CsOH","CsCl 130, NaCl 10, Mg-ATP 5, MgCl2 2, EGTA 11, CaCl2 1, TEA.Cl 15, HEPES 10","E.S.F. WPC-100, Digidata 1322",
"Kapplinger 2015",-35.7,0.8,10,2.5298221281,-79.4,0.9,10,2.8460498942,"None","None","b","AY148488","HEK","HEK293","no",22,24,"transient",24,24,"None","None",2,3,"None","None",80,85,"None","None","None","None",-20,"None","None","None",-100,"None","None","None",-120,"None","None","None","None","yes","yes",140,"None",1.8,0,0,0,7.4,"NaOH","140 NaCl, 4 KCl, 1.8 CaCl2, 0.75 MgCl2, 5 HEPES",0,0,0,0,2,0,0,0,7.4,"CsOH","120 CsF, 20 CsCl, 2 EGTA, 5 HEPES","Axopatch 200B, digidata 1400a, pclamp 10.2","Paper mentions second lab, but all these are from Mayo lab"
"Kapplinger 2015",-40,0.8,9,2.4,-87.2,0.8,9,2.4,"None","None","b","AY148488","HEK","HEK293","no",22,24,"transient",24,24,"None","None",2,3,"None","None",80,85,"None","None","None","None",-20,"None","None","None",-100,"None","None","None",-120,"None","None","None","None","yes","yes",140,"None",1.8,0,0,0,7.4,"NaOH","140 NaCl, 4 KCl, 1.8 CaCl2, 0.75 MgCl2, 5 HEPES",0,0,0,0,2,0,0,0,7.4,"CsOH","120 CsF, 20 CsCl, 2 EGTA, 5 HEPES","Axopatch 200B, digidata 1400a, pclamp 10.2","Paper mentions second lab, but all these are from Mayo lab"
"Kapplinger 2015",-40.7,0.6,8,1.6970562748,-88.6,0.5,7,1.3228756555,"None","None","a","AC1377587","HEK","HEK293","no",22,24,"transient",24,24,"None","None",2,3,"None","None",80,85,"None","None","None","None",-20,"None","None","None",-100,"None","None","None",-120,"None","None","None","None","yes","yes",140,"None",1.8,0,0,0,7.4,"NaOH","140 NaCl, 4 KCl, 1.8 CaCl2, 0.75 MgCl2, 5 HEPES",0,0,0,0,2,0,0,0,7.4,"CsOH","120 CsF, 20 CsCl, 2 EGTA, 5 HEPES","Axopatch 200B, digidata 1400a, pclamp 10.2","Paper mentions second lab, but all these are from Mayo lab"
"Kapplinger 2015",-37.1,1,12,3.4641016151,-79,0.3,6,0.7348469228,"None","None","b","AY148488","HEK","HEK293","no",22,24,"transient",24,24,"None","None",2,3,"None","None",80,85,"None","None","None","None",-20,"None","None","None",-100,"None","None","None",-120,"None","None","None","None","yes","yes",140,"None",1.8,0,0,0,7.4,"NaOH","140 NaCl, 4 KCl, 1.8 CaCl2, 0.75 MgCl2, 5 HEPES",0,0,0,0,2,0,0,0,7.4,"CsOH","120 CsF, 20 CsCl, 2 EGTA, 5 HEPES","Axopatch 200B, digidata 1400a, pclamp 10.2","Paper mentions second lab, but all these are from Mayo lab"
"Kapplinger 2015",-37.1,1.4,13,5.0477717856,-79.7,0.7,13,2.5238858928,"None","None","b","AY148488","HEK","HEK293","no",22,24,"transient",24,24,"None","None",2,3,"None","None",80,85,"None","None","None","None",-20,"None","None","None",-100,"None","None","None",-120,"None","None","None","None","yes","yes",140,"None",1.8,0,0,0,7.4,"NaOH","140 NaCl, 4 KCl, 1.8 CaCl2, 0.75 MgCl2, 5 HEPES",0,0,0,0,2,0,0,0,7.4,"CsOH","120 CsF, 20 CsCl, 2 EGTA, 5 HEPES","Axopatch 200B, digidata 1400a, pclamp 10.2","Paper mentions second lab, but all these are from Mayo lab"
"Kapplinger 2015",-33.4,1.2,15,4.6475800154,-77.9,0.5,15,1.9364916731,"None","None","b","AY148488","HEK","HEK293","no",22,24,"transient",24,24,"None","None",2,3,"None","None",80,85,"None","None","None","None",-20,"None","None","None",-100,"None","None","None",-120,"None","None","None","None","yes","yes",140,"None",1.8,0,0,0,7.4,"NaOH","140 NaCl, 4 KCl, 1.8 CaCl2, 0.75 MgCl2, 5 HEPES",0,0,0,0,2,0,0,0,7.4,"CsOH","120 CsF, 20 CsCl, 2 EGTA, 5 HEPES","Axopatch 200B, digidata 1400a, pclamp 10.2","Paper mentions second lab, but all these are from Mayo lab"
"Kapplinger 2015",-37,1.4,13,5.0477717856,-81.2,0.7,13,2.5238858928,"None","None","b","AY148488","HEK","HEK293","no",22,24,"transient",24,24,"None","None",2,3,"None","None",80,85,"None","None","None","None",-20,"None","None","None",-100,"None","None","None",-120,"None","None","None","None","yes","yes",140,"None",1.8,0,0,0,7.4,"NaOH","140 NaCl, 4 KCl, 1.8 CaCl2, 0.75 MgCl2, 5 HEPES",0,0,0,0,2,0,0,0,7.4,"CsOH","120 CsF, 20 CsCl, 2 EGTA, 5 HEPES","Axopatch 200B, digidata 1400a, pclamp 10.2","Paper mentions second lab, but all these are from Mayo lab"
"Kapplinger 2015",-35.2,1,11,3.3166247904,-79.6,0.8,10,2.5298221281,"None","None","b","AY148488","HEK","HEK293","no",22,24,"transient",24,24,"None","None",2,3,"None","None",80,85,"None","None","None","None",-20,"None","None","None",-100,"None","None","None",-120,"None","None","None","None","yes","yes",140,"None",1.8,0,0,0,7.4,"NaOH","140 NaCl, 4 KCl, 1.8 CaCl2, 0.75 MgCl2, 5 HEPES",0,0,0,0,2,0,0,0,7.4,"CsOH","120 CsF, 20 CsCl, 2 EGTA, 5 HEPES","Axopatch 200B, digidata 1400a, pclamp 10.2","Paper mentions second lab, but all these are from Mayo lab"
"Kapplinger 2015",-38.3,0.3,9,0.9,-79.9,1.2,8,3.3941125497,"None","None","a","AC1377587","HEK","HEK293","no",22,24,"transient",24,24,"None","None",2,3,"None","None",80,85,"None","None","None","None",-20,"None","None","None",-100,"None","None","None",-120,"None","None","None","None","yes","yes",140,"None",1.8,0,0,0,7.4,"NaOH","140 NaCl, 4 KCl, 1.8 CaCl2, 0.75 MgCl2, 5 HEPES",0,0,0,0,2,0,0,0,7.4,"CsOH","120 CsF, 20 CsCl, 2 EGTA, 5 HEPES","Axopatch 200B, digidata 1400a, pclamp 10.2","Paper mentions second lab, but all these are from Mayo lab"
"Kapplinger 2015",-35.4,1.5,14,5.6124860802,-82.8,0.7,14,2.6191601707,"None","None","b","AY148488","HEK","HEK293","no",22,24,"transient",24,24,"None","None",2,3,"None","None",80,85,"None","None","None","None",-20,"None","None","None",-100,"None","None","None",-120,"None","None","None","None","yes","yes",140,"None",1.8,0,0,0,7.4,"NaOH","140 NaCl, 4 KCl, 1.8 CaCl2, 0.75 MgCl2, 5 HEPES",0,0,0,0,2,0,0,0,7.4,"CsOH","120 CsF, 20 CsCl, 2 EGTA, 5 HEPES","Axopatch 200B, digidata 1400a, pclamp 10.2","Paper mentions second lab, but all these are from Mayo lab"
"Kapplinger 2015",-36.2,1.4,11,4.6432747065,-82.4,1,11,3.3166247904,"None","None","a","AC1377587","HEK","HEK293","no",22,24,"transient",24,24,"None","None",2,3,"None","None",80,85,"None","None","None","None",-20,"None","None","None",-100,"None","None","None",-120,"None","None","None","None","yes","yes",140,"None",1.8,0,0,0,7.4,"NaOH","140 NaCl, 4 KCl, 1.8 CaCl2, 0.75 MgCl2, 5 HEPES",0,0,0,0,2,0,0,0,7.4,"CsOH","120 CsF, 20 CsCl, 2 EGTA, 5 HEPES","Axopatch 200B, digidata 1400a, pclamp 10.2","Paper mentions second lab, but all these are from Mayo lab"
"Kapplinger 2015",-30.3,1.9,15,7.3586683578,-78.3,0.8,13,2.8844410204,"None","None","b","AY148488","HEK","HEK293","no",22,24,"transient",24,24,"None","None",2,3,"None","None",80,85,"None","None","None","None",-20,"None","None","None",-100,"None","None","None",-120,"None","None","None","None","yes","yes",140,"None",1.8,0,0,0,7.4,"NaOH","140 NaCl, 4 KCl, 1.8 CaCl2, 0.75 MgCl2, 5 HEPES",0,0,0,0,2,0,0,0,7.4,"CsOH","120 CsF, 20 CsCl, 2 EGTA, 5 HEPES","Axopatch 200B, digidata 1400a, pclamp 10.2","Paper mentions second lab, but all these are from Mayo lab"
"Kapplinger 2015",-34.9,1.4,13,5.0477717856,-81.8,0.7,13,2.5238858928,"None","None","b","AY148488","HEK","HEK293","no",22,24,"transient",24,24,"None","None",2,3,"None","None",80,85,"None","None","None","None",-20,"None","None","None",-100,"None","None","None",-120,"None","None","None","None","yes","yes",140,"None",1.8,0,0,0,7.4,"NaOH","140 NaCl, 4 KCl, 1.8 CaCl2, 0.75 MgCl2, 5 HEPES",0,0,0,0,2,0,0,0,7.4,"CsOH","120 CsF, 20 CsCl, 2 EGTA, 5 HEPES","Axopatch 200B, digidata 1400a, pclamp 10.2","Paper mentions second lab, but all these are from Mayo lab"
"Kapplinger 2015",-34.4,1.5,15,5.8094750193,-80.1,0.4,14,1.4966629547,"None","None","b","AY148488","HEK","HEK293","no",22,24,"transient",24,24,"None","None",2,3,"None","None",80,85,"None","None","None","None",-20,"None","None","None",-100,"None","None","None",-120,"None","None","None","None","yes","yes",140,"None",1.8,0,0,0,7.4,"NaOH","140 NaCl, 4 KCl, 1.8 CaCl2, 0.75 MgCl2, 5 HEPES",0,0,0,0,2,0,0,0,7.4,"CsOH","120 CsF, 20 CsCl, 2 EGTA, 5 HEPES","Axopatch 200B, digidata 1400a, pclamp 10.2","Paper mentions second lab, but all these are from Mayo lab"
"Kapplinger 2015",-37,1.4,13,5.0477717856,-81.2,0.7,13,2.5238858928,"None","None","b","AY148488","HEK","HEK293","no",22,24,"transient",24,24,"None","None",2,3,"None","None",80,85,"None","None","None","None",-20,"None","None","None",-100,"None","None","None",-120,"None","None","None","None","yes","yes",140,"None",1.8,0,0,0,7.4,"NaOH","140 NaCl, 4 KCl, 1.8 CaCl2, 0.75 MgCl2, 5 HEPES",0,0,0,0,2,0,0,0,7.4,"CsOH","120 CsF, 20 CsCl, 2 EGTA, 5 HEPES","Axopatch 200B, digidata 1400a, pclamp 10.2","Paper mentions second lab, but all these are from Mayo lab"
"Kapplinger 2015",-35.1,2,11,6.6332495807,-80.5,0.5,11,1.6583123952,"None","None","b","AY148488","HEK","HEK293","no",22,24,"transient",24,24,"None","None",2,3,"None","None",80,85,"None","None","None","None",-20,"None","None","None",-100,"None","None","None",-120,"None","None","None","None","yes","yes",140,"None",1.8,0,0,0,7.4,"NaOH","140 NaCl, 4 KCl, 1.8 CaCl2, 0.75 MgCl2, 5 HEPES",0,0,0,0,2,0,0,0,7.4,"CsOH","120 CsF, 20 CsCl, 2 EGTA, 5 HEPES","Axopatch 200B, digidata 1400a, pclamp 10.2","Paper mentions second lab, but all these are from Mayo lab"
"Kapplinger 2015",-30.3,1.9,15,7.3586683578,-78.3,0.8,13,2.8844410204,"None","None","b","AY148488","HEK","HEK293","no",22,24,"transient",24,24,"None","None",2,3,"None","None",80,85,"None","None","None","None",-20,"None","None","None",-100,"None","None","None",-120,"None","None","None","None","yes","yes",140,"None",1.8,0,0,0,7.4,"NaOH","140 NaCl, 4 KCl, 1.8 CaCl2, 0.75 MgCl2, 5 HEPES",0,0,0,0,2,0,0,0,7.4,"CsOH","120 CsF, 20 CsCl, 2 EGTA, 5 HEPES","Axopatch 200B, digidata 1400a, pclamp 10.2","Paper mentions second lab, but all these are from Mayo lab"
"Kapplinger 2015",-37.5,1.3,6,3.1843366656,-84.1,0.6,7,1.5874507866,"None","None","b","AY148488","HEK","HEK293","no",22,24,"transient",24,24,"None","None",2,3,"None","None",80,85,"None","None","None","None",-20,"None","None","None",-100,"None","None","None",-120,"None","None","None","None","yes","yes",140,"None",1.8,0,0,0,7.4,"NaOH","140 NaCl, 4 KCl, 1.8 CaCl2, 0.75 MgCl2, 5 HEPES",0,0,0,0,2,0,0,0,7.4,"CsOH","120 CsF, 20 CsCl, 2 EGTA, 5 HEPES","Axopatch 200B, digidata 1400a, pclamp 10.2","Paper mentions second lab, but all these are from Mayo lab"
"Kapplinger 2015",-39.4,1.2,8,3.3941125497,-86.6,1,8,2.8284271247,"None","None","a","AC1377587","HEK","HEK293","no",22,24,"transient",24,24,"None","None",2,3,"None","None",80,85,"None","None","None","None",-20,"None","None","None",-100,"None","None","None",-120,"None","None","None","None","yes","yes",140,"None",1.8,0,0,0,7.4,"NaOH","140 NaCl, 4 KCl, 1.8 CaCl2, 0.75 MgCl2, 5 HEPES",0,0,0,0,2,0,0,0,7.4,"CsOH","120 CsF, 20 CsCl, 2 EGTA, 5 HEPES","Axopatch 200B, digidata 1400a, pclamp 10.2","Paper mentions second lab, but all these are from Mayo lab"
"Kapplinger 2015",-38.3,1.2,18,5.0911688245,-81.9,1,15,3.8729833462,"None","None","b","AY148488","HEK","HEK293","no",22,24,"transient",24,24,"None","None",2,3,"None","None",80,85,"None","None","None","None",-20,"None","None","None",-100,"None","None","None",-120,"None","None","None","None","yes","yes",140,"None",1.8,0,0,0,7.4,"NaOH","140 NaCl, 4 KCl, 1.8 CaCl2, 0.75 MgCl2, 5 HEPES",0,0,0,0,2,0,0,0,7.4,"CsOH","120 CsF, 20 CsCl, 2 EGTA, 5 HEPES","Axopatch 200B, digidata 1400a, pclamp 10.2","Paper mentions second lab, but all these are from Mayo lab"
"Kapplinger 2015",-36.7,1.1,15,4.2602816808,-80.9,0.6,13,2.1633307653,"None","None","a","AC1377587","HEK","HEK293","no",22,24,"transient",24,24,"None","None",2,3,"None","None",80,85,"None","None","None","None",-20,"None","None","None",-100,"None","None","None",-120,"None","None","None","None","yes","yes",140,"None",1.8,0,0,0,7.4,"NaOH","140 NaCl, 4 KCl, 1.8 CaCl2, 0.75 MgCl2, 5 HEPES",0,0,0,0,2,0,0,0,7.4,"CsOH","120 CsF, 20 CsCl, 2 EGTA, 5 HEPES","Axopatch 200B, digidata 1400a, pclamp 10.2","Paper mentions second lab, but all these are from Mayo lab"
"Kapplinger 2015",-37.1,1.4,13,5.0477717856,-79.7,0.7,13,2.5238858928,"None","None","b","AY148488","HEK","HEK293","no",22,24,"transient",24,24,"None","None",2,3,"None","None",80,85,"None","None","None","None",-20,"None","None","None",-100,"None","None","None",-120,"None","None","None","None","yes","yes",140,"None",1.8,0,0,0,7.4,"NaOH","140 NaCl, 4 KCl, 1.8 CaCl2, 0.75 MgCl2, 5 HEPES",0,0,0,0,2,0,0,0,7.4,"CsOH","120 CsF, 20 CsCl, 2 EGTA, 5 HEPES","Axopatch 200B, digidata 1400a, pclamp 10.2","Paper mentions second lab, but all these are from Mayo lab"
"Kapplinger 2015",-34.4,1.5,15,5.8094750193,-80.1,0.4,14,1.4966629547,"None","None","b","AY148488","HEK","HEK293","no",22,24,"transient",24,24,"None","None",2,3,"None","None",80,85,"None","None","None","None",-20,"None","None","None",-100,"None","None","None",-120,"None","None","None","None","yes","yes",140,"None",1.8,0,0,0,7.4,"NaOH","140 NaCl, 4 KCl, 1.8 CaCl2, 0.75 MgCl2, 5 HEPES",0,0,0,0,2,0,0,0,7.4,"CsOH","120 CsF, 20 CsCl, 2 EGTA, 5 HEPES","Axopatch 200B, digidata 1400a, pclamp 10.2","Paper mentions second lab, but all these are from Mayo lab"
"Kapplinger 2015",-37.9,1.1,8,3.1112698372,-79.7,1.4,8,3.9597979746,"None","None","b","AY148488","HEK","HEK293","no",22,24,"transient",24,24,"None","None",2,3,"None","None",80,85,"None","None","None","None",-20,"None","None","None",-100,"None","None","None",-120,"None","None","None","None","yes","yes",140,"None",1.8,0,0,0,7.4,"NaOH","140 NaCl, 4 KCl, 1.8 CaCl2, 0.75 MgCl2, 5 HEPES",0,0,0,0,2,0,0,0,7.4,"CsOH","120 CsF, 20 CsCl, 2 EGTA, 5 HEPES","Axopatch 200B, digidata 1400a, pclamp 10.2","Paper mentions second lab, but all these are from Mayo lab"
"Kapplinger 2015",-37.1,1.4,13,5.0477717856,-79.7,0.7,13,2.5238858928,"None","None","b","AY148488","HEK","HEK293","no",22,24,"transient",24,24,"None","None",2,3,"None","None",80,85,"None","None","None","None",-20,"None","None","None",-100,"None","None","None",-120,"None","None","None","None","yes","yes",140,"None",1.8,0,0,0,7.4,"NaOH","140 NaCl, 4 KCl, 1.8 CaCl2, 0.75 MgCl2, 5 HEPES",0,0,0,0,2,0,0,0,7.4,"CsOH","120 CsF, 20 CsCl, 2 EGTA, 5 HEPES","Axopatch 200B, digidata 1400a, pclamp 10.2","Paper mentions second lab, but all these are from Mayo lab"
"Kapplinger 2015",-36.1,1.3,10,4.1109609582,-77.5,1,9,3,"None","None","b","AY148488","HEK","HEK293","no",22,24,"transient",24,24,"None","None",2,3,"None","None",80,85,"None","None","None","None",-20,"None","None","None",-100,"None","None","None",-120,"None","None","None","None","yes","yes",140,"None",1.8,0,0,0,7.4,"NaOH","140 NaCl, 4 KCl, 1.8 CaCl2, 0.75 MgCl2, 5 HEPES",0,0,0,0,2,0,0,0,7.4,"CsOH","120 CsF, 20 CsCl, 2 EGTA, 5 HEPES","Axopatch 200B, digidata 1400a, pclamp 10.2","Paper mentions second lab, but all these are from Mayo lab"
"Kapplinger 2015",-35.7,1.3,15,5.0348783501,-79.5,0.7,15,2.7110883423,"None","None","b","AY148488","HEK","HEK293","no",22,24,"transient",24,24,"None","None",2,3,"None","None",80,85,"None","None","None","None",-20,"None","None","None",-100,"None","None","None",-120,"None","None","None","None","yes","yes",140,"None",1.8,0,0,0,7.4,"NaOH","140 NaCl, 4 KCl, 1.8 CaCl2, 0.75 MgCl2, 5 HEPES",0,0,0,0,2,0,0,0,7.4,"CsOH","120 CsF, 20 CsCl, 2 EGTA, 5 HEPES","Axopatch 200B, digidata 1400a, pclamp 10.2","Paper mentions second lab, but all these are from Mayo lab"
"Kato 2014",-54.4,2.1,18,8.909545443,-83.8,2.1,21,9.6234089594,4.4,-5.7,"astar","hH1","CHO","CHO","yes",22,23,"transient",48,72,"None","None","None","None","None","None","None","None","None","None","None","None",-40,"None",-5000,"None",-120,-100,10,70,-140,-130,10,-20,-20,"None","yes","None","None","None","None","None","None","None","None",,"None","None","None","None","None","None","None","None","None","None",,,
"Keller 2005",-41,2.3,9,6.9,-77.1,1.6,5,3.577708764,5.4,-6.1,"bstar","hH1a","HEK","HEK293","yes",22,22,"transient",48,48,"None","None",1.7,2.5,"None","None",100,100,5,"None","None","None","None","None",-4000,"None",-100,"None","None","None",-100,"None","None","None","None","yes","yes",130,"None",2,0,0,0,7.4,"CsOH","NaCl 130, CaCl2 2, MgCl2 1.2, CsCl 5, HEPES 10, glucose 5",10,1,1,5,11,0,0.000015,0,7.2,"CsOH","CsCl 60, Cs Asp 70, EGTA 11, MgCl2 1, CaCl2 1, HEPES 10, Na2-ATP 5","Alembic VE-2",
"Keller 2006",-60.13,1.42,10,4.4904342774,-103.82,0.64,8,1.8101933598,6.33,-5.61,"None",,"HEK","tsA201","yes",22,23,"transient","None","None","yes",-7,"None",1,"None","None",80,"None",10,"None","None","None",-40,"None",-6000,"None",-140,-100,10,50,-140,-140,10,-30,-30,"yes","yes",150,"None",1.5,0,0,0,"None","None","150 NaCl, 2 KCl, 1.5 CaCl2, 1 MgCl2, 10 glucose, 10 Na-HEPES",35,0,0,0,10,0,0,0,7.4,"CsOH","35 NaCl, 105 CsF, 10 EGTA, 10 Cs-HEPES","Axopatch 200, Digidata 1300, pClamp 8",
"Li 2009",-56.59,1.72,6,4.2131223576,-104.33,1.58,6,3.8701937936,5.6,-4.79,"None",,"HEK","tsA201","no","None","None","transient","None","None","None","None","None",1,"None","None","None","None","None","None","None","None",-40,"None",-10000,"None",-140,-100,10,50,-140,-140,10,-30,-30,"None","None",150,"None",1.5,0,0,0,7.4,"None","150 NaCl, 2 KCl, 1.5 CaCl2, 1 MgCl2, 10 glucose, 10 Na-Hepes",35,0,0,0,10,0,0,0,7.4,"None","35 NaCl, 105 CsF, 10 EGTA, 10 Cs-Hepes","Axopatch 200, pClamp 8",
"Lin 2008",-54.64,0.74,7,1.9578559702,-99.04,0.87,8,2.4607315985,6.5,-4.83,"astar","hH1","HEK","tsA201","yes",22,22,"transient","None","None","None","None","None","None","None","None","None","None","None","None","None","None",-30,"None",-8000,"None",-140,-100,10,50,-140,-140,10,-30,-30,"None","None","None","None","None","None","None","None","None","None",,"None","None","None","None","None","None","None","None","None","None",,,
